CASE_ID;SORTING;EVENTTIME;ACTIVITY_EN;Automation
8;62;24/04/2018 12:14;Start preparing pizza;B
8;63;24/04/2018 12:18;Start baking pizza;A
8;64;24/04/2018 12:20;Payment customer;B
8;65;24/04/2018 12:20;Baking pizza ready;B
9;66;04/07/2018 23:00;Start order website;A
9;67;04/07/2018 23:04;Approve order website;A
9;68;04/07/2018 23:05;Receive order website;A
9;69;04/07/2018 23:07;Call Customer;A
9;70;04/07/2018 23:08;Start baking pizza;B
9;71;04/07/2018 23:08;Start preparing pizza;B
9;72;04/07/2018 23:10;Plan route;B
9;73;04/07/2018 23:10;Baking pizza ready;B
9;74;04/07/2018 23:14;Departure pizza;A
9;75;04/07/2018 23:18;Pizza arrives at customer;A
9;76;04/07/2018 23:48;Payment customer;A
10;77;31/01/2018 08:07;Order by phone;A
10;78;31/01/2018 08:08;Start preparing pizza;A
10;79;31/01/2018 08:12;Start baking pizza;A
10;80;31/01/2018 08:19;Baking pizza ready;A
10;81;31/01/2018 08:20;Start preparing pizza;B
10;82;31/01/2018 08:24;Start baking pizza;A
10;83;31/01/2018 08:32;Baking pizza ready;A
10;84;31/01/2018 08:39;Plan route;A
10;85;31/01/2018 08:42;Departure pizza;A
10;86;31/01/2018 08:51;Pizza arrives at customer;A
10;87;31/01/2018 08:55;Payment customer;B
11;88;17/06/2018 23:36;Order by phone;A
11;89;17/06/2018 23:39;Start preparing pizza;A
11;90;17/06/2018 23:47;Call Customer;A
11;91;17/06/2018 23:52;Start preparing pizza;A
11;92;17/06/2018 23:58;Start baking pizza;B
11;93;18/06/2018 00:06;Baking pizza ready;A
11;94;18/06/2018 00:07;Plan route;B
11;95;18/06/2018 00:08;Departure pizza;A
11;96;18/06/2018 00:14;Pizza arrives at customer;A
11;97;18/06/2018 00:39;Payment customer;B
12;98;04/04/2018 16:06;Order at the counter (shop);A
12;99;04/04/2018 16:07;Start preparing pizza;A
12;100;04/04/2018 16:10;Start baking pizza;B
12;101;04/04/2018 16:15;Baking pizza ready;A
12;102;04/04/2018 16:16;Payment customer;A
13;103;23/04/2018 19:40;Order by phone;A
13;104;23/04/2018 19:40;Start preparing pizza;A
13;105;23/04/2018 19:46;Start baking pizza;A
13;106;23/04/2018 19:49;Baking pizza ready;A
13;107;23/04/2018 19:54;Plan route;A
13;108;23/04/2018 19:55;Departure pizza;A
13;109;23/04/2018 20:04;Pizza arrives at customer;A
13;110;23/04/2018 20:13;Payment customer;A
14;111;12/04/2018 09:00;Order by phone;A
14;112;12/04/2018 09:03;Start preparing pizza;A
14;113;12/04/2018 09:07;Start baking pizza;B
14;114;12/04/2018 09:20;Baking pizza ready;A
14;115;12/04/2018 09:29;Start preparing pizza;A
14;116;12/04/2018 09:30;Start baking pizza;A
14;117;12/04/2018 09:40;Baking pizza ready;A
14;118;12/04/2018 09:46;Plan route;A
14;119;12/04/2018 09:50;Departure pizza;A
14;120;12/04/2018 09:56;Pizza arrives at customer;A
14;121;12/04/2018 10:22;Payment customer;A
16;122;12/06/2018 15:38;Order by phone;A
16;123;12/06/2018 15:39;Start preparing pizza;A
16;124;12/06/2018 15:44;Start baking pizza;A
16;125;12/06/2018 15:50;Baking pizza ready;A
16;126;12/06/2018 15:51;Plan route;A
16;127;12/06/2018 15:53;Departure pizza;A
16;128;12/06/2018 16:00;Pizza arrives at customer;A
16;129;12/06/2018 16:08;Payment customer;A
17;130;01/03/2018 16:25;Order by phone;B
17;131;01/03/2018 16:25;Start preparing pizza;A
17;132;01/03/2018 16:27;Start baking pizza;A
17;133;01/03/2018 16:37;Baking pizza ready;B
17;134;01/03/2018 16:40;Plan route;A
17;135;01/03/2018 16:44;Departure pizza;B
17;136;01/03/2018 16:52;Pizza arrives at customer;A
17;137;01/03/2018 17:28;Payment customer;A
18;138;26/03/2018 22:42;Order by phone;B
18;139;26/03/2018 22:43;Start preparing pizza;A
18;140;26/03/2018 22:50;Start baking pizza;A
18;141;26/03/2018 23:10;Baking pizza ready;A
18;142;26/03/2018 23:17;Start preparing pizza;A
18;143;26/03/2018 23:23;Start baking pizza;A
18;144;26/03/2018 23:32;Baking pizza ready;A
18;145;26/03/2018 23:39;Departure pizza;B
18;146;26/03/2018 23:39;Plan route;A
18;147;26/03/2018 23:44;Pizza arrives at customer;A
18;148;26/03/2018 23:48;Payment customer;A
19;149;29/03/2018 01:10;Order by phone;A
19;150;29/03/2018 01:13;Start preparing pizza;A
19;151;29/03/2018 01:19;Call Customer;A
19;152;29/03/2018 01:19;Start preparing pizza;A
19;153;29/03/2018 01:21;Start baking pizza;A
19;154;29/03/2018 01:31;Baking pizza ready;A
19;155;29/03/2018 01:34;Plan route;A
19;156;29/03/2018 01:37;Pizza arrives at customer;A
19;157;29/03/2018 01:37;Departure pizza;A
19;158;29/03/2018 02:02;Payment customer;A
20;159;28/04/2018 23:54;Start order website;A
20;160;29/04/2018 00:02;Approve order website;A
20;161;29/04/2018 00:02;Receive order website;A
20;162;29/04/2018 00:10;Start preparing pizza;A
20;163;29/04/2018 00:14;Start baking pizza;B
20;164;29/04/2018 00:22;Start preparing pizza;A
20;165;29/04/2018 00:24;Start baking pizza;A
20;166;29/04/2018 00:37;Baking pizza ready;A
20;167;29/04/2018 00:40;Plan route;B
20;168;29/04/2018 00:42;Departure pizza;A
20;169;29/04/2018 00:51;Pizza arrives at customer;A
20;170;29/04/2018 01:22;Payment customer;A
21;171;01/04/2018 20:47;Start order website;A
21;172;01/04/2018 20:53;Approve order website;A
21;173;01/04/2018 20:53;Receive order website;A
21;174;01/04/2018 20:57;Call Customer;A
21;175;01/04/2018 20:57;Payment via credit card;A
21;176;01/04/2018 21:00;Start preparing pizza;B
21;177;01/04/2018 21:03;Start baking pizza;A
22;178;15/04/2018 19:40;Start preparing pizza;A
22;179;15/04/2018 19:40;Order by phone;A
22;180;15/04/2018 19:45;Start baking pizza;B
22;181;15/04/2018 19:47;Baking pizza ready;A
22;182;15/04/2018 19:55;Start preparing pizza;A
22;183;15/04/2018 19:58;Start baking pizza;A
22;184;15/04/2018 20:02;Baking pizza ready;B
22;185;15/04/2018 20:08;Plan route;B
22;186;15/04/2018 20:09;Departure pizza;A
22;187;15/04/2018 20:15;Pizza arrives at customer;A
22;188;15/04/2018 20:32;Payment customer;A
24;189;05/06/2018 05:38;Order by phone;A
24;190;05/06/2018 05:40;Start preparing pizza;A
24;191;05/06/2018 05:42;Start baking pizza;A
24;192;05/06/2018 05:49;Baking pizza ready;B
24;193;05/06/2018 05:51;Plan route;A
24;194;05/06/2018 05:55;Departure pizza;A
24;195;05/06/2018 06:02;Pizza arrives at customer;A
24;196;05/06/2018 06:27;Payment customer;A
26;197;29/03/2018 02:55;Order by phone;A
26;198;29/03/2018 02:56;Start preparing pizza;B
26;199;29/03/2018 02:57;Start baking pizza;A
26;200;29/03/2018 03:18;Baking pizza ready;B
26;201;29/03/2018 03:26;Start preparing pizza;A
26;202;29/03/2018 03:28;Start baking pizza;A
26;203;29/03/2018 03:37;Baking pizza ready;A
26;204;29/03/2018 03:44;Plan route;A
26;205;29/03/2018 03:45;Departure pizza;A
26;206;29/03/2018 03:49;Pizza arrives at customer;A
26;207;29/03/2018 03:56;Payment customer;A
27;208;01/05/2018 18:09;Start order website;A
27;209;01/05/2018 18:17;Approve order website;A
27;210;01/05/2018 18:18;Receive order website;B
27;211;01/05/2018 18:24;Start preparing pizza;A
27;212;01/05/2018 18:24;Call Customer;A
27;213;01/05/2018 18:28;Start baking pizza;A
27;214;01/05/2018 18:29;Baking pizza ready;B
27;215;01/05/2018 18:30;Plan route;A
27;216;01/05/2018 18:34;Departure pizza;A
27;217;01/05/2018 18:42;Pizza arrives at customer;B
27;218;01/05/2018 18:49;Payment customer;B
28;219;14/05/2018 23:43;Start order website;A
28;220;14/05/2018 23:46;Approve order website;A
28;221;14/05/2018 23:47;Receive order website;A
28;222;14/05/2018 23:55;Call Customer;A
28;223;15/05/2018 00:02;Start preparing pizza;A
28;224;15/05/2018 00:06;Start baking pizza;A
28;225;15/05/2018 00:15;Baking pizza ready;A
28;226;15/05/2018 00:18;Plan route;A
28;227;15/05/2018 00:23;Departure pizza;B
28;228;15/05/2018 00:28;Pizza arrives at customer;B
28;229;15/05/2018 01:03;Payment customer;B
30;230;09/04/2018 14:52;Order by phone;A
30;231;09/04/2018 14:54;Start preparing pizza;A
30;232;09/04/2018 15:00;Start baking pizza;B
30;233;09/04/2018 15:02;Baking pizza ready;A
30;234;09/04/2018 15:07;Departure pizza;A
30;235;09/04/2018 15:07;Plan route;A
30;236;09/04/2018 15:14;Pizza arrives at customer;A
30;237;09/04/2018 15:22;Payment customer;B
31;238;10/03/2018 00:11;Order by phone;A
31;239;10/03/2018 00:14;Start baking pizza;A
31;240;10/03/2018 00:14;Start preparing pizza;A
31;241;10/03/2018 00:27;Baking pizza ready;B
31;242;10/03/2018 00:30;Plan route;A
31;243;10/03/2018 00:30;Departure pizza;B
31;244;10/03/2018 00:34;Pizza arrives at customer;A
31;245;10/03/2018 01:00;Payment customer;B
32;246;21/03/2018 15:37;Start order website;A
32;247;21/03/2018 15:49;Approve order website;A
32;248;21/03/2018 15:49;Receive order website;A
32;249;21/03/2018 15:57;Start preparing pizza;A
32;250;21/03/2018 16:02;Start baking pizza;B
32;251;21/03/2018 16:03;Start preparing pizza;A
32;252;21/03/2018 16:08;Start baking pizza;A
32;253;21/03/2018 16:17;Baking pizza ready;B
32;254;21/03/2018 16:18;Departure pizza;A
32;255;21/03/2018 16:18;Plan route;A
32;256;21/03/2018 16:24;Pizza arrives at customer;A
32;257;21/03/2018 16:40;Payment customer;B
33;258;19/02/2018 17:39;Order by phone;A
33;259;19/02/2018 17:42;Start preparing pizza;A
33;260;19/02/2018 17:44;Start baking pizza;A
33;261;19/02/2018 17:45;Baking pizza ready;B
33;262;19/02/2018 17:48;Plan route;A
33;263;19/02/2018 17:49;Departure pizza;B
33;264;19/02/2018 17:58;Pizza arrives at customer;A
33;265;19/02/2018 18:35;Payment customer;A
34;266;16/06/2018 14:03;Start preparing pizza;A
34;267;16/06/2018 14:03;Order at the counter (shop);A
34;268;16/06/2018 14:04;Start baking pizza;A
34;269;16/06/2018 14:12;Baking pizza ready;B
34;270;16/06/2018 14:13;Payment customer;A
35;271;30/05/2018 00:58;Order by phone;B
35;272;30/05/2018 01:01;Start preparing pizza;A
35;273;30/05/2018 01:02;Call Customer;A
35;274;30/05/2018 01:05;Start preparing pizza;A
35;275;30/05/2018 01:10;Start baking pizza;A
35;276;30/05/2018 01:15;Baking pizza ready;A
35;277;30/05/2018 01:19;Plan route;A
35;278;30/05/2018 01:22;Departure pizza;A
35;279;30/05/2018 01:31;Pizza arrives at customer;B
35;280;30/05/2018 02:04;Payment customer;B
36;281;01/02/2018 11:49;Order at the counter (shop);A
36;282;01/02/2018 11:52;Start preparing pizza;A
36;283;01/02/2018 11:56;Start baking pizza;A
36;284;01/02/2018 12:01;Baking pizza ready;A
36;285;01/02/2018 12:01;Payment customer;A
37;286;30/07/2018 15:58;Order by phone;B
37;287;30/07/2018 15:59;Start preparing pizza;A
37;288;30/07/2018 16:04;Start baking pizza;A
37;289;30/07/2018 16:19;Baking pizza ready;B
37;290;30/07/2018 16:28;Start preparing pizza;A
37;291;30/07/2018 16:28;Start baking pizza;A
37;292;30/07/2018 16:33;Baking pizza ready;A
37;293;30/07/2018 16:35;Plan route;A
37;294;30/07/2018 16:35;Departure pizza;B
37;295;30/07/2018 16:43;Pizza arrives at customer;A
37;296;30/07/2018 17:21;Payment customer;A
38;297;08/02/2018 21:50;Start preparing pizza;A
38;298;08/02/2018 21:50;Order at the counter (shop);A
38;299;08/02/2018 21:57;Start baking pizza;A
38;300;08/02/2018 22:01;Baking pizza ready;A
38;301;08/02/2018 22:02;Payment customer;A
39;302;07/04/2018 06:41;Order by phone;A
39;303;07/04/2018 06:41;Start preparing pizza;A
39;304;07/04/2018 06:47;Start baking pizza;A
39;305;07/04/2018 06:57;Baking pizza ready;A
39;306;07/04/2018 06:59;Start preparing pizza;B
39;307;07/04/2018 07:03;Start baking pizza;A
39;308;07/04/2018 07:04;Baking pizza ready;A
39;309;07/04/2018 07:11;Plan route;A
39;310;07/04/2018 07:15;Departure pizza;A
39;311;07/04/2018 07:17;Pizza arrives at customer;A
39;312;07/04/2018 07:45;Payment customer;A
40;313;26/05/2018 21:17;Start preparing pizza;A
40;314;26/05/2018 21:17;Order by phone;A
40;315;26/05/2018 21:23;Start baking pizza;A
40;316;26/05/2018 21:29;Baking pizza ready;A
40;317;26/05/2018 21:31;Start preparing pizza;A
40;318;26/05/2018 21:32;Start baking pizza;A
40;319;26/05/2018 21:36;Baking pizza ready;B
40;320;26/05/2018 21:42;Plan route;A
40;321;26/05/2018 21:44;Departure pizza;A
40;322;26/05/2018 21:51;Pizza arrives at customer;A
40;323;26/05/2018 22:22;Payment customer;A
41;324;20/01/2018 10:44;Start preparing pizza;A
41;325;20/01/2018 10:44;Order by phone;A
41;326;20/01/2018 10:46;Start baking pizza;B
41;327;20/01/2018 11:06;Baking pizza ready;A
41;328;20/01/2018 11:08;Start preparing pizza;A
41;329;20/01/2018 11:10;Start baking pizza;A
41;330;20/01/2018 11:22;Baking pizza ready;B
41;331;20/01/2018 11:28;Plan route;A
41;332;20/01/2018 11:28;Departure pizza;A
41;333;20/01/2018 11:33;Pizza arrives at customer;A
41;334;20/01/2018 12:09;Payment customer;A
42;335;24/04/2018 10:00;Order at the counter (shop);B
42;336;24/04/2018 10:03;Start preparing pizza;A
42;337;24/04/2018 10:08;Start baking pizza;A
42;338;24/04/2018 10:10;Baking pizza ready;A
42;339;24/04/2018 10:10;Payment customer;B
43;340;24/03/2018 08:24;Start order website;A
43;341;24/03/2018 08:26;Approve order website;B
43;342;24/03/2018 08:26;Receive order website;A
43;343;24/03/2018 08:30;Call Customer;A
43;344;24/03/2018 08:33;Start preparing pizza;B
43;345;24/03/2018 08:38;Start baking pizza;A
43;346;24/03/2018 08:45;Baking pizza ready;A
43;347;24/03/2018 08:45;Plan route;A
43;348;24/03/2018 08:50;Departure pizza;A
43;349;24/03/2018 08:58;Pizza arrives at customer;A
43;350;24/03/2018 09:25;Payment customer;B
44;351;29/05/2018 13:52;Order by phone;A
44;352;29/05/2018 13:55;Start preparing pizza;A
44;353;29/05/2018 14:01;Start baking pizza;B
44;354;29/05/2018 14:16;Baking pizza ready;A
44;355;29/05/2018 14:17;Start preparing pizza;A
44;356;29/05/2018 14:22;Start baking pizza;A
44;357;29/05/2018 14:27;Baking pizza ready;A
44;358;29/05/2018 14:27;Departure pizza;A
44;359;29/05/2018 14:27;Plan route;A
44;360;29/05/2018 14:30;Pizza arrives at customer;B
44;361;29/05/2018 14:41;Payment customer;A
45;362;25/03/2018 03:47;Start order website;A
45;363;25/03/2018 03:53;Approve order website;A
45;364;25/03/2018 03:54;Receive order website;A
45;365;25/03/2018 04:03;Call Customer;B
45;366;25/03/2018 04:05;Start preparing pizza;A
45;367;25/03/2018 04:07;Start baking pizza;A
45;368;25/03/2018 04:19;Baking pizza ready;B
45;369;25/03/2018 04:19;Plan route;B
45;370;25/03/2018 04:24;Departure pizza;B
45;371;25/03/2018 04:27;Pizza arrives at customer;A
45;372;25/03/2018 04:47;Payment customer;B
46;373;09/03/2018 19:26;Order by phone;B
46;374;09/03/2018 19:27;Start preparing pizza;A
46;375;09/03/2018 19:29;Start baking pizza;A
46;376;09/03/2018 19:32;Baking pizza ready;A
46;377;09/03/2018 19:34;Plan route;B
46;378;09/03/2018 19:36;Departure pizza;A
46;379;09/03/2018 19:39;Pizza arrives at customer;A
46;380;09/03/2018 19:41;Payment customer;B
48;381;05/03/2018 15:07;Start baking pizza;B
48;382;05/03/2018 15:07;Order at the counter (shop);A
48;383;05/03/2018 15:07;Start preparing pizza;A
48;384;05/03/2018 15:16;Payment customer;A
48;385;05/03/2018 15:16;Baking pizza ready;A
49;386;11/02/2018 11:40;Order at the counter (shop);A
49;387;11/02/2018 11:42;Start preparing pizza;A
49;388;11/02/2018 11:44;Start baking pizza;A
49;389;11/02/2018 11:55;Baking pizza ready;A
49;390;11/02/2018 11:56;Payment customer;B
50;391;04/02/2018 03:54;Order by phone;A
50;392;04/02/2018 03:55;Start preparing pizza;A
50;393;04/02/2018 03:57;Start baking pizza;A
50;394;04/02/2018 04:00;Baking pizza ready;A
50;395;04/02/2018 04:01;Plan route;A
50;396;04/02/2018 04:05;Departure pizza;A
50;397;04/02/2018 04:10;Pizza arrives at customer;A
50;398;04/02/2018 04:42;Payment customer;A
51;399;27/06/2018 14:58;Order by phone;A
51;400;27/06/2018 15:00;Start preparing pizza;B
51;401;27/06/2018 15:01;Start baking pizza;A
51;402;27/06/2018 15:23;Baking pizza ready;A
51;403;27/06/2018 15:28;Start preparing pizza;A
51;404;27/06/2018 15:33;Start baking pizza;A
51;405;27/06/2018 15:36;Baking pizza ready;A
51;406;27/06/2018 15:37;Plan route;A
51;407;27/06/2018 15:41;Departure pizza;A
51;408;27/06/2018 15:47;Pizza arrives at customer;A
51;409;27/06/2018 16:04;Payment customer;B
52;410;11/05/2018 07:07;Order by phone;A
52;411;11/05/2018 07:09;Start preparing pizza;A
52;412;11/05/2018 07:10;Start baking pizza;A
52;413;11/05/2018 07:11;Baking pizza ready;A
52;414;11/05/2018 07:20;Start preparing pizza;B
52;415;11/05/2018 07:22;Start baking pizza;A
52;416;11/05/2018 07:34;Baking pizza ready;A
52;417;11/05/2018 07:34;Plan route;A
52;418;11/05/2018 07:38;Departure pizza;A
52;419;11/05/2018 07:39;Pizza arrives at customer;A
52;420;11/05/2018 07:52;Payment customer;B
53;421;15/03/2018 23:39;Start preparing pizza;A
53;422;15/03/2018 23:39;Start baking pizza;A
53;423;15/03/2018 23:39;Order by phone;A
53;424;15/03/2018 23:46;Baking pizza ready;A
53;425;15/03/2018 23:53;Start preparing pizza;A
53;426;15/03/2018 23:58;Start baking pizza;A
53;427;16/03/2018 00:10;Baking pizza ready;A
53;428;16/03/2018 00:11;Plan route;A
53;429;16/03/2018 00:15;Departure pizza;A
53;430;16/03/2018 00:20;Pizza arrives at customer;B
53;431;16/03/2018 00:43;Payment customer;A
54;432;13/02/2018 13:18;Order by phone;A
54;433;13/02/2018 13:19;Start preparing pizza;A
54;434;13/02/2018 13:20;Start baking pizza;B
54;435;13/02/2018 13:28;Baking pizza ready;A
54;436;13/02/2018 13:30;Plan route;A
54;437;13/02/2018 13:34;Departure pizza;A
54;438;13/02/2018 13:38;Pizza arrives at customer;A
54;439;13/02/2018 14:07;Payment customer;A
55;440;09/06/2018 01:53;Start preparing pizza;A
55;441;09/06/2018 01:53;Order by phone;A
55;442;09/06/2018 01:58;Start baking pizza;A
55;443;09/06/2018 02:05;Baking pizza ready;A
55;444;09/06/2018 02:05;Plan route;A
55;445;09/06/2018 02:07;Departure pizza;A
55;446;09/06/2018 02:12;Pizza arrives at customer;A
55;447;09/06/2018 02:47;Payment customer;B
56;448;12/04/2018 22:56;Order by phone;A
56;449;12/04/2018 22:58;Start preparing pizza;A
56;450;12/04/2018 23:04;Start baking pizza;A
56;451;12/04/2018 23:14;Baking pizza ready;A
56;452;12/04/2018 23:19;Plan route;B
56;453;12/04/2018 23:22;Departure pizza;B
56;454;12/04/2018 23:31;Pizza arrives at customer;A
56;455;12/04/2018 23:37;Payment customer;B
57;456;22/03/2018 14:33;Order by phone;A
57;457;22/03/2018 14:34;Start preparing pizza;A
57;458;22/03/2018 14:34;Start baking pizza;A
57;459;22/03/2018 14:38;Baking pizza ready;A
57;460;22/03/2018 14:47;Start preparing pizza;A
57;461;22/03/2018 14:48;Start baking pizza;A
57;462;22/03/2018 14:54;Baking pizza ready;A
57;463;22/03/2018 15:01;Plan route;A
57;464;22/03/2018 15:05;Departure pizza;A
57;465;22/03/2018 15:10;Pizza arrives at customer;A
57;466;22/03/2018 15:31;Payment customer;B
58;467;15/02/2018 23:50;Order by phone;B
58;468;15/02/2018 23:53;Start preparing pizza;A
58;469;15/02/2018 23:56;Call Customer;A
58;470;16/02/2018 00:03;Start preparing pizza;B
58;471;16/02/2018 00:06;Start baking pizza;A
58;472;16/02/2018 00:16;Baking pizza ready;A
58;473;16/02/2018 00:18;Plan route;A
58;474;16/02/2018 00:19;Departure pizza;A
58;475;16/02/2018 00:27;Pizza arrives at customer;A
58;476;16/02/2018 00:34;Payment customer;A
61;477;15/03/2018 06:23;Order by phone;A
61;478;15/03/2018 06:24;Start preparing pizza;A
61;479;15/03/2018 06:28;Start baking pizza;A
61;480;15/03/2018 06:38;Baking pizza ready;A
61;481;15/03/2018 06:40;Plan route;A
61;482;15/03/2018 06:42;Departure pizza;A
61;483;15/03/2018 06:47;Pizza arrives at customer;A
61;484;15/03/2018 06:53;Payment customer;A
62;485;29/05/2018 11:22;Start order website;A
62;486;29/05/2018 11:33;Approve order website;B
62;487;29/05/2018 11:33;Receive order website;A
62;488;29/05/2018 11:36;Call Customer;B
62;489;29/05/2018 11:37;Start baking pizza;A
62;490;29/05/2018 11:37;Start preparing pizza;A
62;491;29/05/2018 11:47;Baking pizza ready;A
62;492;29/05/2018 11:48;Plan route;A
62;493;29/05/2018 11:50;Departure pizza;B
62;494;29/05/2018 11:59;Pizza arrives at customer;A
62;495;29/05/2018 12:01;Payment customer;B
63;496;11/03/2018 07:40;Order by phone;A
63;497;11/03/2018 07:43;Start preparing pizza;B
63;498;11/03/2018 07:48;Start baking pizza;B
63;499;11/03/2018 08:02;Baking pizza ready;A
63;500;11/03/2018 08:10;Start preparing pizza;A
63;501;11/03/2018 08:11;Start baking pizza;A
63;502;11/03/2018 08:17;Baking pizza ready;B
63;503;11/03/2018 08:24;Plan route;A
63;504;11/03/2018 08:27;Departure pizza;B
63;505;11/03/2018 08:33;Pizza arrives at customer;A
63;506;11/03/2018 09:12;Payment customer;B
64;507;11/06/2018 22:09;Order by phone;A
64;508;11/06/2018 22:10;Start preparing pizza;A
64;509;11/06/2018 22:10;Call Customer;A
64;510;11/06/2018 22:13;Start preparing pizza;B
64;511;11/06/2018 22:16;Start baking pizza;A
64;512;11/06/2018 22:25;Baking pizza ready;A
64;513;11/06/2018 22:27;Plan route;B
64;514;11/06/2018 22:29;Departure pizza;A
64;515;11/06/2018 22:32;Pizza arrives at customer;A
64;516;11/06/2018 22:48;Payment customer;A
65;517;30/03/2018 00:13;Start baking pizza;A
65;518;30/03/2018 00:13;Order at the counter (shop);A
65;519;30/03/2018 00:13;Start preparing pizza;B
65;520;30/03/2018 00:15;Baking pizza ready;B
65;521;30/03/2018 00:16;Payment customer;A
66;522;08/03/2018 15:24;Order by phone;A
66;523;08/03/2018 15:24;Start preparing pizza;A
66;524;08/03/2018 15:31;Start baking pizza;A
66;525;08/03/2018 15:33;Baking pizza ready;A
66;526;08/03/2018 15:37;Plan route;A
66;527;08/03/2018 15:40;Departure pizza;A
66;528;08/03/2018 15:40;Pizza arrives at customer;A
66;529;08/03/2018 15:56;Payment customer;A
67;530;19/02/2018 18:05;Order by phone;A
67;531;19/02/2018 18:07;Start preparing pizza;A
67;532;19/02/2018 18:11;Call Customer;A
67;533;19/02/2018 18:18;Start baking pizza;B
67;534;19/02/2018 18:18;Start preparing pizza;B
67;535;19/02/2018 18:23;Baking pizza ready;A
67;536;19/02/2018 18:26;Plan route;A
67;537;19/02/2018 18:27;Departure pizza;A
67;538;19/02/2018 18:35;Pizza arrives at customer;A
67;539;19/02/2018 19:08;Payment customer;A
68;540;11/06/2018 00:38;Order by phone;A
68;541;11/06/2018 00:38;Start preparing pizza;A
68;542;11/06/2018 00:42;Call Customer;A
68;543;11/06/2018 00:47;Start preparing pizza;A
68;544;11/06/2018 00:49;Start baking pizza;A
68;545;11/06/2018 00:49;Baking pizza ready;A
68;546;11/06/2018 00:51;Plan route;A
68;547;11/06/2018 00:52;Departure pizza;A
68;548;11/06/2018 00:58;Pizza arrives at customer;A
68;549;11/06/2018 01:12;Payment customer;A
69;550;03/06/2018 17:11;Order by phone;B
69;551;03/06/2018 17:13;Start preparing pizza;A
69;552;03/06/2018 17:13;Start baking pizza;A
69;553;03/06/2018 17:25;Baking pizza ready;A
69;554;03/06/2018 17:34;Start preparing pizza;B
69;555;03/06/2018 17:38;Start baking pizza;A
69;556;03/06/2018 17:51;Baking pizza ready;A
69;557;03/06/2018 17:55;Plan route;A
69;558;03/06/2018 17:57;Departure pizza;A
69;559;03/06/2018 18:01;Pizza arrives at customer;A
69;560;03/06/2018 18:11;Payment customer;B
70;561;19/03/2018 10:59;Order by phone;A
70;562;19/03/2018 11:02;Start preparing pizza;A
70;563;19/03/2018 11:04;Start baking pizza;B
70;564;19/03/2018 11:09;Baking pizza ready;B
