,SORTING,EVENTTIME,ACTIVITY_EN,Automation,Customer_Location,Costs,Customer Satisfaction,Cost Factor,Weekday,Daytime,Distribution Channel,Customer Location,Customer Type
20,11,27/05/2018 04:22,Order by phone,A,Munich District Two,1.0,0.0,Chef 1,Wednesday,17.0,Feedera SE,Munich District One,Student
21,11,27/05/2018 04:22,Order by phone,A,Munich District Two,10.0,2.0,Ingredients,Saturday,12.0,BestOrder Inc.,Munich District Two,Student
22,11,27/05/2018 04:22,Order by phone,A,Munich District Two,2.0,2.0,Delivery Scooters ,Saturday,18.0,Deliveruu Inc.,Munich District Two,Student
23,11,27/05/2018 04:22,Order by phone,A,Munich District Two,38.0,3.0,Ingredients,Friday,21.0,Deliveruu Inc.,Munich District One,Student
24,12,27/05/2018 04:25,Start preparing pizza,A,Munich District Two,43.0,3.0,Waiter,Sunday,18.0,Feedera SE,Munich District One,Adult
25,12,27/05/2018 04:25,Start preparing pizza,A,Munich District Two,3.0,3.0,Delivery Guy 2,Thursday,15.0,Deliver Now Holding,Munich District Three,Student
26,12,27/05/2018 04:25,Start preparing pizza,A,Munich District Two,43.0,4.0,Ingredients,Sunday,18.0,TownExpress Inc. ,Munich District One,Student
27,12,27/05/2018 04:25,Start preparing pizza,A,Munich District Two,16.0,3.0,Waiter,Sunday,19.0,Orderly SE,Munich District One,Student
28,12,27/05/2018 04:25,Start preparing pizza,A,Munich District Two,44.0,5.0,Delivery Scooters ,Monday,18.0,Feedera SE,Munich District One,Teenager
29,12,27/05/2018 04:25,Start preparing pizza,A,Munich District Two,32.0,5.0,Delivery Scooters ,Sunday,21.0,Feedera SE,Munich District One,Student
30,12,27/05/2018 04:25,Start preparing pizza,A,Munich District Two,29.0,1.0,Chef 2,Thursday,18.0,Feedera SE,Munich District Four,Adult
31,12,27/05/2018 04:25,Start preparing pizza,A,Munich District Two,11.0,1.0,Ingredients,Friday,13.0,Deliver Now Holding,Munich District Five,Student
32,12,27/05/2018 04:25,Start preparing pizza,A,Munich District Two,2.0,1.0,Phone Bill,Friday,19.0,BestOrder Inc.,Munich District Five,Student
33,12,27/05/2018 04:25,Start preparing pizza,A,Munich District Two,25.0,0.0,Delivery Guy 1 ,Thursday,20.0,Feedera SE,Munich District Three,Teenager
34,12,27/05/2018 04:25,Start preparing pizza,A,Munich District Two,1.0,0.0,Chef 1,Wednesday,17.0,Feedera SE,Munich District One,Student
35,12,27/05/2018 04:25,Start preparing pizza,A,Munich District Two,10.0,2.0,Ingredients,Saturday,12.0,BestOrder Inc.,Munich District Two,Student
36,12,27/05/2018 04:25,Start preparing pizza,A,Munich District Two,2.0,2.0,Delivery Scooters ,Saturday,18.0,Deliveruu Inc.,Munich District Two,Student
37,12,27/05/2018 04:25,Start preparing pizza,A,Munich District Two,38.0,3.0,Ingredients,Friday,21.0,Deliveruu Inc.,Munich District One,Student
38,13,27/05/2018 04:27,Start baking pizza,B,Munich District Two,43.0,3.0,Waiter,Sunday,18.0,Feedera SE,Munich District One,Adult
39,13,27/05/2018 04:27,Start baking pizza,B,Munich District Two,3.0,3.0,Delivery Guy 2,Thursday,15.0,Deliver Now Holding,Munich District Three,Student
40,13,27/05/2018 04:27,Start baking pizza,B,Munich District Two,43.0,4.0,Ingredients,Sunday,18.0,TownExpress Inc. ,Munich District One,Student
41,13,27/05/2018 04:27,Start baking pizza,B,Munich District Two,16.0,3.0,Waiter,Sunday,19.0,Orderly SE,Munich District One,Student
42,13,27/05/2018 04:27,Start baking pizza,B,Munich District Two,44.0,5.0,Delivery Scooters ,Monday,18.0,Feedera SE,Munich District One,Teenager
43,13,27/05/2018 04:27,Start baking pizza,B,Munich District Two,32.0,5.0,Delivery Scooters ,Sunday,21.0,Feedera SE,Munich District One,Student
44,13,27/05/2018 04:27,Start baking pizza,B,Munich District Two,29.0,1.0,Chef 2,Thursday,18.0,Feedera SE,Munich District Four,Adult
45,13,27/05/2018 04:27,Start baking pizza,B,Munich District Two,11.0,1.0,Ingredients,Friday,13.0,Deliver Now Holding,Munich District Five,Student
46,13,27/05/2018 04:27,Start baking pizza,B,Munich District Two,2.0,1.0,Phone Bill,Friday,19.0,BestOrder Inc.,Munich District Five,Student
47,13,27/05/2018 04:27,Start baking pizza,B,Munich District Two,25.0,0.0,Delivery Guy 1 ,Thursday,20.0,Feedera SE,Munich District Three,Teenager
48,13,27/05/2018 04:27,Start baking pizza,B,Munich District Two,1.0,0.0,Chef 1,Wednesday,17.0,Feedera SE,Munich District One,Student
49,13,27/05/2018 04:27,Start baking pizza,B,Munich District Two,10.0,2.0,Ingredients,Saturday,12.0,BestOrder Inc.,Munich District Two,Student
50,13,27/05/2018 04:27,Start baking pizza,B,Munich District Two,2.0,2.0,Delivery Scooters ,Saturday,18.0,Deliveruu Inc.,Munich District Two,Student
51,13,27/05/2018 04:27,Start baking pizza,B,Munich District Two,38.0,3.0,Ingredients,Friday,21.0,Deliveruu Inc.,Munich District One,Student
52,14,27/05/2018 04:29,Baking pizza ready,A,Munich District Two,43.0,3.0,Waiter,Sunday,18.0,Feedera SE,Munich District One,Adult
53,14,27/05/2018 04:29,Baking pizza ready,A,Munich District Two,3.0,3.0,Delivery Guy 2,Thursday,15.0,Deliver Now Holding,Munich District Three,Student
54,14,27/05/2018 04:29,Baking pizza ready,A,Munich District Two,43.0,4.0,Ingredients,Sunday,18.0,TownExpress Inc. ,Munich District One,Student
55,14,27/05/2018 04:29,Baking pizza ready,A,Munich District Two,16.0,3.0,Waiter,Sunday,19.0,Orderly SE,Munich District One,Student
56,14,27/05/2018 04:29,Baking pizza ready,A,Munich District Two,44.0,5.0,Delivery Scooters ,Monday,18.0,Feedera SE,Munich District One,Teenager
57,14,27/05/2018 04:29,Baking pizza ready,A,Munich District Two,32.0,5.0,Delivery Scooters ,Sunday,21.0,Feedera SE,Munich District One,Student
58,14,27/05/2018 04:29,Baking pizza ready,A,Munich District Two,29.0,1.0,Chef 2,Thursday,18.0,Feedera SE,Munich District Four,Adult
59,14,27/05/2018 04:29,Baking pizza ready,A,Munich District Two,11.0,1.0,Ingredients,Friday,13.0,Deliver Now Holding,Munich District Five,Student
60,14,27/05/2018 04:29,Baking pizza ready,A,Munich District Two,2.0,1.0,Phone Bill,Friday,19.0,BestOrder Inc.,Munich District Five,Student
61,14,27/05/2018 04:29,Baking pizza ready,A,Munich District Two,25.0,0.0,Delivery Guy 1 ,Thursday,20.0,Feedera SE,Munich District Three,Teenager
62,14,27/05/2018 04:29,Baking pizza ready,A,Munich District Two,1.0,0.0,Chef 1,Wednesday,17.0,Feedera SE,Munich District One,Student
63,14,27/05/2018 04:29,Baking pizza ready,A,Munich District Two,10.0,2.0,Ingredients,Saturday,12.0,BestOrder Inc.,Munich District Two,Student
64,14,27/05/2018 04:29,Baking pizza ready,A,Munich District Two,2.0,2.0,Delivery Scooters ,Saturday,18.0,Deliveruu Inc.,Munich District Two,Student
65,14,27/05/2018 04:29,Baking pizza ready,A,Munich District Two,38.0,3.0,Ingredients,Friday,21.0,Deliveruu Inc.,Munich District One,Student
66,15,27/05/2018 04:30,Departure pizza,A,Munich District Two,43.0,3.0,Waiter,Sunday,18.0,Feedera SE,Munich District One,Adult
67,15,27/05/2018 04:30,Departure pizza,A,Munich District Two,3.0,3.0,Delivery Guy 2,Thursday,15.0,Deliver Now Holding,Munich District Three,Student
68,15,27/05/2018 04:30,Departure pizza,A,Munich District Two,43.0,4.0,Ingredients,Sunday,18.0,TownExpress Inc. ,Munich District One,Student
69,15,27/05/2018 04:30,Departure pizza,A,Munich District Two,16.0,3.0,Waiter,Sunday,19.0,Orderly SE,Munich District One,Student
70,15,27/05/2018 04:30,Departure pizza,A,Munich District Two,44.0,5.0,Delivery Scooters ,Monday,18.0,Feedera SE,Munich District One,Teenager
71,15,27/05/2018 04:30,Departure pizza,A,Munich District Two,32.0,5.0,Delivery Scooters ,Sunday,21.0,Feedera SE,Munich District One,Student
72,15,27/05/2018 04:30,Departure pizza,A,Munich District Two,29.0,1.0,Chef 2,Thursday,18.0,Feedera SE,Munich District Four,Adult
73,15,27/05/2018 04:30,Departure pizza,A,Munich District Two,11.0,1.0,Ingredients,Friday,13.0,Deliver Now Holding,Munich District Five,Student
74,15,27/05/2018 04:30,Departure pizza,A,Munich District Two,2.0,1.0,Phone Bill,Friday,19.0,BestOrder Inc.,Munich District Five,Student
75,15,27/05/2018 04:30,Departure pizza,A,Munich District Two,25.0,0.0,Delivery Guy 1 ,Thursday,20.0,Feedera SE,Munich District Three,Teenager
76,15,27/05/2018 04:30,Departure pizza,A,Munich District Two,1.0,0.0,Chef 1,Wednesday,17.0,Feedera SE,Munich District One,Student
77,15,27/05/2018 04:30,Departure pizza,A,Munich District Two,10.0,2.0,Ingredients,Saturday,12.0,BestOrder Inc.,Munich District Two,Student
78,15,27/05/2018 04:30,Departure pizza,A,Munich District Two,2.0,2.0,Delivery Scooters ,Saturday,18.0,Deliveruu Inc.,Munich District Two,Student
79,15,27/05/2018 04:30,Departure pizza,A,Munich District Two,38.0,3.0,Ingredients,Friday,21.0,Deliveruu Inc.,Munich District One,Student
80,16,27/05/2018 04:30,Plan route,A,Munich District Two,43.0,3.0,Waiter,Sunday,18.0,Feedera SE,Munich District One,Adult
81,16,27/05/2018 04:30,Plan route,A,Munich District Two,3.0,3.0,Delivery Guy 2,Thursday,15.0,Deliver Now Holding,Munich District Three,Student
82,16,27/05/2018 04:30,Plan route,A,Munich District Two,43.0,4.0,Ingredients,Sunday,18.0,TownExpress Inc. ,Munich District One,Student
83,16,27/05/2018 04:30,Plan route,A,Munich District Two,16.0,3.0,Waiter,Sunday,19.0,Orderly SE,Munich District One,Student
84,16,27/05/2018 04:30,Plan route,A,Munich District Two,44.0,5.0,Delivery Scooters ,Monday,18.0,Feedera SE,Munich District One,Teenager
85,16,27/05/2018 04:30,Plan route,A,Munich District Two,32.0,5.0,Delivery Scooters ,Sunday,21.0,Feedera SE,Munich District One,Student
86,16,27/05/2018 04:30,Plan route,A,Munich District Two,29.0,1.0,Chef 2,Thursday,18.0,Feedera SE,Munich District Four,Adult
87,16,27/05/2018 04:30,Plan route,A,Munich District Two,11.0,1.0,Ingredients,Friday,13.0,Deliver Now Holding,Munich District Five,Student
88,16,27/05/2018 04:30,Plan route,A,Munich District Two,2.0,1.0,Phone Bill,Friday,19.0,BestOrder Inc.,Munich District Five,Student
89,16,27/05/2018 04:30,Plan route,A,Munich District Two,25.0,0.0,Delivery Guy 1 ,Thursday,20.0,Feedera SE,Munich District Three,Teenager
90,16,27/05/2018 04:30,Plan route,A,Munich District Two,1.0,0.0,Chef 1,Wednesday,17.0,Feedera SE,Munich District One,Student
91,16,27/05/2018 04:30,Plan route,A,Munich District Two,10.0,2.0,Ingredients,Saturday,12.0,BestOrder Inc.,Munich District Two,Student
92,16,27/05/2018 04:30,Plan route,A,Munich District Two,2.0,2.0,Delivery Scooters ,Saturday,18.0,Deliveruu Inc.,Munich District Two,Student
93,16,27/05/2018 04:30,Plan route,A,Munich District Two,38.0,3.0,Ingredients,Friday,21.0,Deliveruu Inc.,Munich District One,Student
94,17,27/05/2018 04:39,Pizza arrives at customer,A,Munich District Two,43.0,3.0,Waiter,Sunday,18.0,Feedera SE,Munich District One,Adult
95,17,27/05/2018 04:39,Pizza arrives at customer,A,Munich District Two,3.0,3.0,Delivery Guy 2,Thursday,15.0,Deliver Now Holding,Munich District Three,Student
96,17,27/05/2018 04:39,Pizza arrives at customer,A,Munich District Two,43.0,4.0,Ingredients,Sunday,18.0,TownExpress Inc. ,Munich District One,Student
97,17,27/05/2018 04:39,Pizza arrives at customer,A,Munich District Two,16.0,3.0,Waiter,Sunday,19.0,Orderly SE,Munich District One,Student
98,17,27/05/2018 04:39,Pizza arrives at customer,A,Munich District Two,44.0,5.0,Delivery Scooters ,Monday,18.0,Feedera SE,Munich District One,Teenager
99,17,27/05/2018 04:39,Pizza arrives at customer,A,Munich District Two,32.0,5.0,Delivery Scooters ,Sunday,21.0,Feedera SE,Munich District One,Student
100,17,27/05/2018 04:39,Pizza arrives at customer,A,Munich District Two,29.0,1.0,Chef 2,Thursday,18.0,Feedera SE,Munich District Four,Adult
101,17,27/05/2018 04:39,Pizza arrives at customer,A,Munich District Two,11.0,1.0,Ingredients,Friday,13.0,Deliver Now Holding,Munich District Five,Student
102,17,27/05/2018 04:39,Pizza arrives at customer,A,Munich District Two,2.0,1.0,Phone Bill,Friday,19.0,BestOrder Inc.,Munich District Five,Student
103,17,27/05/2018 04:39,Pizza arrives at customer,A,Munich District Two,25.0,0.0,Delivery Guy 1 ,Thursday,20.0,Feedera SE,Munich District Three,Teenager
104,17,27/05/2018 04:39,Pizza arrives at customer,A,Munich District Two,1.0,0.0,Chef 1,Wednesday,17.0,Feedera SE,Munich District One,Student
105,17,27/05/2018 04:39,Pizza arrives at customer,A,Munich District Two,10.0,2.0,Ingredients,Saturday,12.0,BestOrder Inc.,Munich District Two,Student
106,17,27/05/2018 04:39,Pizza arrives at customer,A,Munich District Two,2.0,2.0,Delivery Scooters ,Saturday,18.0,Deliveruu Inc.,Munich District Two,Student
107,17,27/05/2018 04:39,Pizza arrives at customer,A,Munich District Two,38.0,3.0,Ingredients,Friday,21.0,Deliveruu Inc.,Munich District One,Student
108,18,27/05/2018 04:40,Payment customer,A,Munich District Two,43.0,3.0,Waiter,Sunday,18.0,Feedera SE,Munich District One,Adult
109,18,27/05/2018 04:40,Payment customer,A,Munich District Two,3.0,3.0,Delivery Guy 2,Thursday,15.0,Deliver Now Holding,Munich District Three,Student
110,18,27/05/2018 04:40,Payment customer,A,Munich District Two,43.0,4.0,Ingredients,Sunday,18.0,TownExpress Inc. ,Munich District One,Student
111,18,27/05/2018 04:40,Payment customer,A,Munich District Two,16.0,3.0,Waiter,Sunday,19.0,Orderly SE,Munich District One,Student
112,18,27/05/2018 04:40,Payment customer,A,Munich District Two,44.0,5.0,Delivery Scooters ,Monday,18.0,Feedera SE,Munich District One,Teenager
113,18,27/05/2018 04:40,Payment customer,A,Munich District Two,32.0,5.0,Delivery Scooters ,Sunday,21.0,Feedera SE,Munich District One,Student
114,18,27/05/2018 04:40,Payment customer,A,Munich District Two,29.0,1.0,Chef 2,Thursday,18.0,Feedera SE,Munich District Four,Adult
115,18,27/05/2018 04:40,Payment customer,A,Munich District Two,11.0,1.0,Ingredients,Friday,13.0,Deliver Now Holding,Munich District Five,Student
116,18,27/05/2018 04:40,Payment customer,A,Munich District Two,2.0,1.0,Phone Bill,Friday,19.0,BestOrder Inc.,Munich District Five,Student
117,18,27/05/2018 04:40,Payment customer,A,Munich District Two,25.0,0.0,Delivery Guy 1 ,Thursday,20.0,Feedera SE,Munich District Three,Teenager
118,18,27/05/2018 04:40,Payment customer,A,Munich District Two,1.0,0.0,Chef 1,Wednesday,17.0,Feedera SE,Munich District One,Student
119,18,27/05/2018 04:40,Payment customer,A,Munich District Two,10.0,2.0,Ingredients,Saturday,12.0,BestOrder Inc.,Munich District Two,Student
120,18,27/05/2018 04:40,Payment customer,A,Munich District Two,2.0,2.0,Delivery Scooters ,Saturday,18.0,Deliveruu Inc.,Munich District Two,Student
121,18,27/05/2018 04:40,Payment customer,A,Munich District Two,38.0,3.0,Ingredients,Friday,21.0,Deliveruu Inc.,Munich District One,Student
122,19,03/05/2018 18:24,Start order website,A,Munich District Three,13.0,1.0,Delivery Scooters ,Wednesday,19.0,Deliver Now Holding,Munich District Two,Teenager
123,19,03/05/2018 18:24,Start order website,A,Munich District Three,5.0,3.0,Chef 1,Tuesday,20.0,Orderly SE,Munich District Three,Teenager
124,19,03/05/2018 18:24,Start order website,A,Munich District Three,2.0,3.0,Delivery Scooters ,Sunday,13.0,TownExpress Inc. ,Munich District One,Teenager
125,19,03/05/2018 18:24,Start order website,A,Munich District Three,10.0,0.0,Delivery Guy 2,Friday,12.0,Deliver Now Holding,Munich District Three,Student
126,19,03/05/2018 18:24,Start order website,A,Munich District Three,8.0,0.0,Ingredients,Sunday,18.0,Orderly SE,Munich District One,Senior
127,19,03/05/2018 18:24,Start order website,A,Munich District Three,5.0,1.0,Phone Bill,Wednesday,19.0,Feedera SE,Munich District Three,Teenager
128,20,03/05/2018 18:34,Approve order website,A,Munich District Three,13.0,1.0,Delivery Scooters ,Wednesday,19.0,Deliver Now Holding,Munich District Two,Teenager
129,20,03/05/2018 18:34,Approve order website,A,Munich District Three,5.0,3.0,Chef 1,Tuesday,20.0,Orderly SE,Munich District Three,Teenager
130,20,03/05/2018 18:34,Approve order website,A,Munich District Three,2.0,3.0,Delivery Scooters ,Sunday,13.0,TownExpress Inc. ,Munich District One,Teenager
131,20,03/05/2018 18:34,Approve order website,A,Munich District Three,10.0,0.0,Delivery Guy 2,Friday,12.0,Deliver Now Holding,Munich District Three,Student
132,20,03/05/2018 18:34,Approve order website,A,Munich District Three,8.0,0.0,Ingredients,Sunday,18.0,Orderly SE,Munich District One,Senior
133,20,03/05/2018 18:34,Approve order website,A,Munich District Three,5.0,1.0,Phone Bill,Wednesday,19.0,Feedera SE,Munich District Three,Teenager
134,21,03/05/2018 18:35,Receive order website,A,Munich District Three,13.0,1.0,Delivery Scooters ,Wednesday,19.0,Deliver Now Holding,Munich District Two,Teenager
135,21,03/05/2018 18:35,Receive order website,A,Munich District Three,5.0,3.0,Chef 1,Tuesday,20.0,Orderly SE,Munich District Three,Teenager
136,21,03/05/2018 18:35,Receive order website,A,Munich District Three,2.0,3.0,Delivery Scooters ,Sunday,13.0,TownExpress Inc. ,Munich District One,Teenager
137,21,03/05/2018 18:35,Receive order website,A,Munich District Three,10.0,0.0,Delivery Guy 2,Friday,12.0,Deliver Now Holding,Munich District Three,Student
138,21,03/05/2018 18:35,Receive order website,A,Munich District Three,8.0,0.0,Ingredients,Sunday,18.0,Orderly SE,Munich District One,Senior
139,21,03/05/2018 18:35,Receive order website,A,Munich District Three,5.0,1.0,Phone Bill,Wednesday,19.0,Feedera SE,Munich District Three,Teenager
140,22,03/05/2018 18:43,Call Customer,A,Munich District Three,13.0,1.0,Delivery Scooters ,Wednesday,19.0,Deliver Now Holding,Munich District Two,Teenager
141,22,03/05/2018 18:43,Call Customer,A,Munich District Three,5.0,3.0,Chef 1,Tuesday,20.0,Orderly SE,Munich District Three,Teenager
142,22,03/05/2018 18:43,Call Customer,A,Munich District Three,2.0,3.0,Delivery Scooters ,Sunday,13.0,TownExpress Inc. ,Munich District One,Teenager
143,22,03/05/2018 18:43,Call Customer,A,Munich District Three,10.0,0.0,Delivery Guy 2,Friday,12.0,Deliver Now Holding,Munich District Three,Student
144,22,03/05/2018 18:43,Call Customer,A,Munich District Three,8.0,0.0,Ingredients,Sunday,18.0,Orderly SE,Munich District One,Senior
145,22,03/05/2018 18:43,Call Customer,A,Munich District Three,5.0,1.0,Phone Bill,Wednesday,19.0,Feedera SE,Munich District Three,Teenager
146,23,03/05/2018 18:49,Start preparing pizza,A,Munich District Three,13.0,1.0,Delivery Scooters ,Wednesday,19.0,Deliver Now Holding,Munich District Two,Teenager
147,23,03/05/2018 18:49,Start preparing pizza,A,Munich District Three,5.0,3.0,Chef 1,Tuesday,20.0,Orderly SE,Munich District Three,Teenager
148,23,03/05/2018 18:49,Start preparing pizza,A,Munich District Three,2.0,3.0,Delivery Scooters ,Sunday,13.0,TownExpress Inc. ,Munich District One,Teenager
149,23,03/05/2018 18:49,Start preparing pizza,A,Munich District Three,10.0,0.0,Delivery Guy 2,Friday,12.0,Deliver Now Holding,Munich District Three,Student
150,23,03/05/2018 18:49,Start preparing pizza,A,Munich District Three,8.0,0.0,Ingredients,Sunday,18.0,Orderly SE,Munich District One,Senior
151,23,03/05/2018 18:49,Start preparing pizza,A,Munich District Three,5.0,1.0,Phone Bill,Wednesday,19.0,Feedera SE,Munich District Three,Teenager
152,24,03/05/2018 18:50,Start baking pizza,A,Munich District Three,13.0,1.0,Delivery Scooters ,Wednesday,19.0,Deliver Now Holding,Munich District Two,Teenager
153,24,03/05/2018 18:50,Start baking pizza,A,Munich District Three,5.0,3.0,Chef 1,Tuesday,20.0,Orderly SE,Munich District Three,Teenager
154,24,03/05/2018 18:50,Start baking pizza,A,Munich District Three,2.0,3.0,Delivery Scooters ,Sunday,13.0,TownExpress Inc. ,Munich District One,Teenager
155,24,03/05/2018 18:50,Start baking pizza,A,Munich District Three,10.0,0.0,Delivery Guy 2,Friday,12.0,Deliver Now Holding,Munich District Three,Student
156,24,03/05/2018 18:50,Start baking pizza,A,Munich District Three,8.0,0.0,Ingredients,Sunday,18.0,Orderly SE,Munich District One,Senior
157,24,03/05/2018 18:50,Start baking pizza,A,Munich District Three,5.0,1.0,Phone Bill,Wednesday,19.0,Feedera SE,Munich District Three,Teenager
158,25,03/05/2018 18:51,Baking pizza ready,B,Munich District Three,13.0,1.0,Delivery Scooters ,Wednesday,19.0,Deliver Now Holding,Munich District Two,Teenager
159,25,03/05/2018 18:51,Baking pizza ready,B,Munich District Three,5.0,3.0,Chef 1,Tuesday,20.0,Orderly SE,Munich District Three,Teenager
160,25,03/05/2018 18:51,Baking pizza ready,B,Munich District Three,2.0,3.0,Delivery Scooters ,Sunday,13.0,TownExpress Inc. ,Munich District One,Teenager
161,25,03/05/2018 18:51,Baking pizza ready,B,Munich District Three,10.0,0.0,Delivery Guy 2,Friday,12.0,Deliver Now Holding,Munich District Three,Student
162,25,03/05/2018 18:51,Baking pizza ready,B,Munich District Three,8.0,0.0,Ingredients,Sunday,18.0,Orderly SE,Munich District One,Senior
163,25,03/05/2018 18:51,Baking pizza ready,B,Munich District Three,5.0,1.0,Phone Bill,Wednesday,19.0,Feedera SE,Munich District Three,Teenager
164,26,03/05/2018 18:54,Plan route,B,Munich District Three,13.0,1.0,Delivery Scooters ,Wednesday,19.0,Deliver Now Holding,Munich District Two,Teenager
165,26,03/05/2018 18:54,Plan route,B,Munich District Three,5.0,3.0,Chef 1,Tuesday,20.0,Orderly SE,Munich District Three,Teenager
166,26,03/05/2018 18:54,Plan route,B,Munich District Three,2.0,3.0,Delivery Scooters ,Sunday,13.0,TownExpress Inc. ,Munich District One,Teenager
167,26,03/05/2018 18:54,Plan route,B,Munich District Three,10.0,0.0,Delivery Guy 2,Friday,12.0,Deliver Now Holding,Munich District Three,Student
168,26,03/05/2018 18:54,Plan route,B,Munich District Three,8.0,0.0,Ingredients,Sunday,18.0,Orderly SE,Munich District One,Senior
169,26,03/05/2018 18:54,Plan route,B,Munich District Three,5.0,1.0,Phone Bill,Wednesday,19.0,Feedera SE,Munich District Three,Teenager
170,27,03/05/2018 18:54,Departure pizza,A,Munich District Three,13.0,1.0,Delivery Scooters ,Wednesday,19.0,Deliver Now Holding,Munich District Two,Teenager
171,27,03/05/2018 18:54,Departure pizza,A,Munich District Three,5.0,3.0,Chef 1,Tuesday,20.0,Orderly SE,Munich District Three,Teenager
172,27,03/05/2018 18:54,Departure pizza,A,Munich District Three,2.0,3.0,Delivery Scooters ,Sunday,13.0,TownExpress Inc. ,Munich District One,Teenager
173,27,03/05/2018 18:54,Departure pizza,A,Munich District Three,10.0,0.0,Delivery Guy 2,Friday,12.0,Deliver Now Holding,Munich District Three,Student
174,27,03/05/2018 18:54,Departure pizza,A,Munich District Three,8.0,0.0,Ingredients,Sunday,18.0,Orderly SE,Munich District One,Senior
175,27,03/05/2018 18:54,Departure pizza,A,Munich District Three,5.0,1.0,Phone Bill,Wednesday,19.0,Feedera SE,Munich District Three,Teenager
176,28,03/05/2018 18:56,Pizza arrives at customer,B,Munich District Three,13.0,1.0,Delivery Scooters ,Wednesday,19.0,Deliver Now Holding,Munich District Two,Teenager
177,28,03/05/2018 18:56,Pizza arrives at customer,B,Munich District Three,5.0,3.0,Chef 1,Tuesday,20.0,Orderly SE,Munich District Three,Teenager
178,28,03/05/2018 18:56,Pizza arrives at customer,B,Munich District Three,2.0,3.0,Delivery Scooters ,Sunday,13.0,TownExpress Inc. ,Munich District One,Teenager
179,28,03/05/2018 18:56,Pizza arrives at customer,B,Munich District Three,10.0,0.0,Delivery Guy 2,Friday,12.0,Deliver Now Holding,Munich District Three,Student
180,28,03/05/2018 18:56,Pizza arrives at customer,B,Munich District Three,8.0,0.0,Ingredients,Sunday,18.0,Orderly SE,Munich District One,Senior
181,28,03/05/2018 18:56,Pizza arrives at customer,B,Munich District Three,5.0,1.0,Phone Bill,Wednesday,19.0,Feedera SE,Munich District Three,Teenager
182,29,03/05/2018 19:02,Payment customer,B,Munich District Three,13.0,1.0,Delivery Scooters ,Wednesday,19.0,Deliver Now Holding,Munich District Two,Teenager
183,29,03/05/2018 19:02,Payment customer,B,Munich District Three,5.0,3.0,Chef 1,Tuesday,20.0,Orderly SE,Munich District Three,Teenager
