_CASE_KEY;Variant;Customer_ID;Revenue;Costs;Pizza Type;Pizza Size;Customer Satisfaction;Cost Factor;Weekday;Daytime;Distribution Channel;Customer Location;Customer Type
1158;1;148;6;4;Salami;Medium;3;Delivery Guy 2;Saturday;13;BestOrder Inc.;Munich District Three;Student
1024;1;49;8;4;Speciale;Small;1;Chef 1;Friday;19;Feedera SE;Munich District Five;Student
137;1;168;55;1;Calzone;Large;1;Delivery Guy 2;Friday;15;Heropizza Lmtd.;Munich District Three;Teenager
409;1;36;21;56;Magherita;Large;4;Ingredients;Friday;19;Feedera SE;Munich District One;Student
505;1;270;9;5;Magherita;Large;3;Chef 2;Friday;20;Deliveruu Inc.;Munich District Five;Student
1290;1;102;9;11;Funghi;Small;0;Chef 1;Sunday;11;Feedera SE;Munich District Five;Student
1650;1;121;5;10;Salami;Small;4;Chef 1;Sunday;21;Deliver Now Holding;Munich District Five;Senior
390;1;243;8;10;Funghi;Small;1;Chef 2;Saturday;12;TownExpress Inc. ;Munich District Two;Student
123;1;89;30;13;Salami;Large;1;Delivery Scooters ;Sunday;14;BestOrder Inc.;Munich District Two;Teenager
1861;1;258;9;11;Magherita;Small;1;Ingredients;Saturday;19;Feedera SE;Munich District One;Teenager
541;1;282;4;1;Funghi;Large;1;Ingredients;Friday;14;Deliveruu Inc.;Munich District Three;Student
1904;1;230;51;1;Salami;Large;3;Ingredients;Friday;13;BestOrder Inc.;Munich District Two;Student
33;1;192;29;47;Salami;Medium;4;Delivery Scooters ;Saturday;15;Deliver Now Holding;Munich District One;Teenager
1506;1;110;22;10;Speciale;Large;0;Chef 2;Saturday;18;Deliveruu Inc.;Munich District One;Teenager
951;1;104;9;10;Speciale;Small;3;Delivery Guy 1 ;Saturday;18;Deliveruu Inc.;Munich District Three;Student
490;1;166;18;11;Magherita;Large;3;Waiter;Sunday;15;Feedera SE;Munich District One;Senior
556;1;180;32;5;Calzone;Large;5;Chef 2;Monday;21;Feedera SE;Munich District Two;Student
1560;1;110;32;10;Magherita;Small;5;Ingredients;Friday;19;Deliveruu Inc.;Munich District Two;Student
511;1;204;10;7;Calzone;Small;3;Chef 2;Friday;12;Deliver Now Holding;Munich District Five;Student
911;1;137;31;46;Salami;Small;5;Delivery Scooters ;Sunday;12;Deliver Now Holding;Munich District Three;Teenager
1378;1;179;15;7;Speciale;Small;2;Chef 2;Sunday;13;Deliver Now Holding;Munich District Two;Teenager
898;1;54;29;2;Paprika;Medium;1;Ingredients;Saturday;11;Feedera SE;Munich District Three;Student
1656;1;127;21;13;Salami;Large;1;Chef 1;Sunday;13;Deliver Now Holding;Munich District Two;Student
479;1;132;5;38;Salami;Medium;1;Chef 2;Monday;12;Feedera SE;Munich District Five;Student
66;1;260;33;16;Funghi;Large;1;Chef 2;Sunday;13;Orderly SE;Munich District Five;Student
1784;1;128;21;7;Salami;Medium;3;Ingredients;Saturday;18;BestOrder Inc.;Munich District One;Student
349;1;82;50;44;Speciale;Medium;4;Delivery Scooters ;Sunday;17;Deliveruu Inc.;Munich District One;Student
659;1;91;5;46;Funghi;Large;2;Chef 2;Friday;13;BestOrder Inc.;Munich District One;Senior
1217;1;22;10;7;Salami;Small;1;Ingredients;Wednesday;18;BestOrder Inc.;Munich District Four;Student
372;1;68;29;7;Veggie;Medium;3;Waiter;Friday;12;Deliver Now Holding;Munich District Four;Student
264;1;174;36;10;Funghi;Small;3;Chef 1;Saturday;11;Feedera SE;Munich District One;Student
1250;1;263;4;22;Salami;Large;1;Phone Bill;Wednesday;14;Deliver Now Holding;Munich District One;Adult
1092;1;250;11;8;Calzone;Large;3;Phone Bill;Sunday;13;BestOrder Inc.;Munich District One;Adult
709;1;93;5;13;Salami;Small;1;Ingredients;Sunday;12;Feedera SE;Munich District One;Student
1409;1;206;8;12;Magherita;Small;3;Chef 2;Saturday;13;Feedera SE;Munich District Three;Teenager
81;1;93;4;10;Paprika;Small;1;Distribution channel fees;Wednesday;12;Deliver Now Holding;Munich District Five;Student
384;1;184;5;3;Magherita;Medium;2;Delivery Scooters ;Sunday;16;Feedera SE;Munich District One;Adult
993;1;209;36;5;Magherita;Medium;1;Chef 1;Friday;13;Feedera SE;Munich District Two;Student
157;1;29;56;8;Speciale;Small;5;Ingredients;Sunday;18;Heropizza Lmtd.;Munich District One;Student
672;1;235;29;5;Salami;Small;1;Chef 2;Sunday;13;Feedera SE;Munich District One;Adult
1138;1;128;23;10;Speciale;Small;0;Chef 2;Sunday;18;Deliver Now Holding;Munich District Three;Adult
788;1;27;36;2;Veggie;Large;3;Chef 1;Sunday;18;Feedera SE;Munich District Two;Student
196;1;85;10;28;Magherita;Large;3;Delivery Guy 2;Sunday;17;Feedera SE;Munich District Two;Student
386;1;63;36;56;Paprika;Medium;3;Phone Bill;Wednesday;12;Feedera SE;Munich District Two;Teenager
702;1;48;9;20;Salami;Small;5;Chef 1;Saturday;13;Feedera SE;Munich District Four;Teenager
669;1;150;22;7;Speciale;Small;5;Delivery Guy 1 ;Friday;18;Deliver Now Holding;Munich District One;Adult
54;1;278;60;9;Salami;Small;5;Chef 1;Sunday;12;BestOrder Inc.;Munich District Three;Student
851;1;167;29;10;Salami;Small;2;Waiter;Wednesday;18;Feedera SE;Munich District Three;Teenager
852;1;46;6;16;Calzone;Small;4;Delivery Scooters ;Saturday;20;Deliver Now Holding;Munich District Two;Student
1358;1;81;9;9;Paprika;Medium;1;Delivery Guy 2;Saturday;14;Deliver Now Holding;Munich District One;Adult
776;1;300;36;2;Magherita;Medium;3;Chef 2;Sunday;18;BestOrder Inc.;Munich District One;Student
1615;1;195;10;2;Veggie;Small;3;Delivery Guy 2;Wednesday;19;Feedera SE;Munich District Two;Student
1620;1;300;11;7;Paprika;Small;4;Chef 2;Saturday;19;Deliver Now Holding;Munich District One;Adult
430;1;145;21;2;Salami;Medium;2;Delivery Scooters ;Saturday;18;Deliver Now Holding;Munich District Three;Teenager
1049;1;295;21;11;Speciale;Large;0;Chef 2;Saturday;18;Deliver Now Holding;Munich District One;Student
731;1;218;10;22;Funghi;Large;3;Chef 1;Friday;19;Feedera SE;Munich District One;Teenager
1553;1;42;6;47;Calzone;Small;3;Ingredients;Wednesday;18;Feedera SE;Munich District Three;Adult
13;1;35;36;10;Salami;Medium;2;Phone Bill;Saturday;18;Feedera SE;Munich District One;Student
449;1;15;29;10;Speciale;Small;3;Delivery Scooters ;Sunday;18;Orderly SE;Munich District Two;Student
875;1;281;10;11;Salami;Medium;5;Chef 1;Friday;12;BestOrder Inc.;Munich District One;Student
517;1;251;36;9;Salami;Large;3;Chef 2;Friday;12;Deliver Now Holding;Munich District One;Student
402;1;255;36;50;Veggie;Small;2;Delivery Guy 1 ;Saturday;13;BestOrder Inc.;Munich District Two;Student
756;1;267;11;15;Calzone;Large;1;Chef 2;Monday;12;Deliver Now Holding;Munich District Three;Student
906;1;254;46;7;Magherita;Small;1;Ingredients;Saturday;12;Orderly SE;Munich District Four;Student
887;1;17;36;11;Speciale;Medium;5;Chef 2;Saturday;21;Orderly SE;Munich District Three;Senior
1858;1;169;8;2;Veggie;Large;5;Chef 2;Sunday;17;Deliver Now Holding;Munich District One;Teenager
629;1;264;17;2;Salami;Large;3;Phone Bill;Sunday;14;Feedera SE;Munich District Three;Adult
645;1;145;8;2;Speciale;Small;3;Delivery Guy 2;Sunday;17;Deliveruu Inc.;Munich District Three;Teenager
1474;1;227;18;2;Paprika;Small;3;Waiter;Sunday;12;Deliver Now Holding;Munich District Five;Student
1703;1;125;56;11;Calzone;Large;0;Chef 2;Friday;18;BestOrder Inc.;Munich District One;Student
1856;1;43;36;47;Calzone;Small;4;Delivery Guy 2;Sunday;18;Feedera SE;Munich District One;Student
1406;1;135;53;8;Funghi;Small;2;Ingredients;Saturday;20;Deliver Now Holding;Munich District One;Senior
1112;1;177;9;2;Magherita;Small;4;Delivery Scooters ;Thursday;12;Deliver Now Holding;Munich District One;Student
1414;1;299;39;5;Paprika;Small;2;Delivery Guy 1 ;Sunday;12;Feedera SE;Munich District Four;Student
1176;1;65;9;17;Funghi;Large;1;Waiter;Sunday;19;Feedera SE;Munich District Four;Student
1665;1;140;16;9;Magherita;Medium;5;Chef 1;Friday;12;Deliver Now Holding;Munich District Two;Student
440;1;158;9;60;Magherita;Small;5;Waiter;Sunday;18;Deliver Now Holding;Munich District One;Student
480;1;181;51;10;Magherita;Small;0;Delivery Scooters ;Friday;13;Feedera SE;Munich District Three;Teenager
485;1;201;29;9;Calzone;Small;5;Chef 2;Saturday;14;BestOrder Inc.;Munich District One;Student
1042;1;103;19;16;Salami;Small;3;Chef 1;Sunday;11;Feedera SE;Munich District One;Student
24;1;184;5;8;Magherita;Medium;4;Chef 1;Saturday;16;Deliver Now Holding;Munich District One;Student
131;1;224;56;11;Calzone;Medium;2;Waiter;Friday;18;Deliver Now Holding;Munich District Two;Student
1339;1;72;17;8;Speciale;Small;5;Chef 2;Sunday;15;Deliveruu Inc.;Munich District Four;Senior
1645;1;155;53;33;Salami;Medium;0;Chef 1;Sunday;19;Deliver Now Holding;Munich District One;Teenager
1114;1;226;21;35;Speciale;Large;0;Chef 2;Thursday;17;Deliveruu Inc.;Munich District Two;Teenager
687;1;129;5;16;Magherita;Large;2;Waiter;Sunday;17;Deliveruu Inc.;Munich District One;Student
17;1;254;35;3;Calzone;Large;3;Phone Bill;Saturday;13;Feedera SE;Munich District Two;Teenager
50;1;254;9;10;Speciale;Small;5;Chef 2;Saturday;20;Feedera SE;Munich District One;Student
929;1;26;16;37;Salami;Small;1;Chef 1;Friday;19;BestOrder Inc.;Munich District Five;Student
492;1;141;8;3;Calzone;Small;1;Chef 1;Saturday;14;Feedera SE;Munich District Two;Student
1489;1;207;36;23;Salami;Medium;1;Delivery Scooters ;Friday;19;Deliver Now Holding;Munich District Three;Adult
345;1;123;13;12;Funghi;Medium;1;Ingredients;Sunday;12;Feedera SE;Munich District One;Student
395;1;14;8;12;Salami;Small;3;Chef 1;Sunday;21;Feedera SE;Munich District Four;Student
1835;1;81;50;7;Funghi;Large;3;Chef 2;Friday;21;Feedera SE;Munich District Four;Student
1311;1;139;10;7;Funghi;Small;5;Delivery Guy 2;Thursday;17;Deliver Now Holding;Munich District Three;Adult
1679;1;279;10;7;Salami;Small;4;Waiter;Sunday;14;Feedera SE;Munich District Three;Student
1370;1;141;55;11;Magherita;Small;3;Phone Bill;Sunday;14;BestOrder Inc.;Munich District Two;Student
553;1;202;49;7;Calzone;Small;1;Delivery Scooters ;Sunday;12;BestOrder Inc.;Munich District Four;Student
1522;1;26;44;12;Salami;Large;4;Chef 2;Friday;14;Feedera SE;Munich District Four;Student
563;1;154;30;37;Calzone;Small;5;Delivery Scooters ;Sunday;18;Deliver Now Holding;Munich District Four;Teenager
1282;1;196;54;12;Speciale;Large;4;Chef 1;Sunday;18;Deliver Now Holding;Munich District Three;Teenager
1077;1;170;20;51;Salami;Large;2;Ingredients;Saturday;19;Feedera SE;Munich District Four;Teenager
631;1;281;21;2;Salami;Large;4;Chef 1;Friday;12;Orderly SE;Munich District Four;Adult
1069;1;139;22;10;Salami;Medium;3;Phone Bill;Sunday;17;Deliveruu Inc.;Munich District One;Student
102;1;222;33;30;Magherita;Large;1;Chef 2;Friday;12;Deliver Now Holding;Munich District One;Student
743;1;20;29;2;Salami;Small;3;Delivery Scooters ;Friday;14;BestOrder Inc.;Munich District Two;Teenager
1644;1;175;21;5;Magherita;Large;2;Ingredients;Saturday;19;BestOrder Inc.;Munich District Three;Teenager
106;1;36;36;56;Paprika;Small;4;Delivery Guy 2;Saturday;12;BestOrder Inc.;Munich District One;Student
366;1;213;44;7;Magherita;Large;1;Phone Bill;Monday;18;Deliver Now Holding;Munich District One;Student
431;1;239;36;13;Funghi;Large;5;Phone Bill;Friday;18;Deliveruu Inc.;Munich District One;Student
439;1;81;60;2;Speciale;Medium;3;Delivery Guy 1 ;Saturday;12;Feedera SE;Munich District One;Student
353;1;2;36;43;Funghi;Small;3;Waiter;Sunday;18;Feedera SE;Munich District One;Adult
146;1;59;36;9;Calzone;Small;0;Chef 2;Sunday;17;Feedera SE;Munich District Four;Student
1348;1;6;54;2;Salami;Large;1;Delivery Scooters ;Sunday;13;BestOrder Inc.;Munich District Three;Teenager
1696;1;165;36;3;Magherita;Large;2;Distribution channel fees;Friday;20;Deliver Now Holding;Munich District Two;Student
655;1;282;21;30;Paprika;Large;1;Ingredients;Friday;12;Deliveruu Inc.;Munich District One;Student
587;1;41;49;16;Salami;Medium;5;Chef 1;Friday;20;Heropizza Lmtd.;Munich District Four;Teenager
262;1;3;36;13;Funghi;Large;1;Delivery Scooters ;Wednesday;19;Deliver Now Holding;Munich District Two;Teenager
791;1;31;8;16;Funghi;Medium;1;Chef 1;Sunday;19;Deliver Now Holding;Munich District Five;Student
1150;1;3;36;5;Funghi;Large;3;Chef 1;Tuesday;20;Orderly SE;Munich District Three;Teenager
1067;1;24;10;2;Veggie;Medium;3;Chef 2;Monday;10;Deliveruu Inc.;Munich District Three;Student
1294;1;275;28;8;Magherita;Small;1;Waiter;Monday;18;Deliver Now Holding;Munich District One;Adult
1278;1;296;17;15;Salami;Medium;0;Chef 1;Friday;11;BestOrder Inc.;Munich District Five;Student
1604;1;67;11;10;Magherita;Medium;2;Chef 2;Wednesday;18;BestOrder Inc.;Munich District One;Student
1807;1;114;11;29;Calzone;Small;1;Waiter;Saturday;19;Deliver Now Holding;Munich District One;Adult
1355;1;300;11;3;Magherita;Large;4;Delivery Guy 2;Friday;19;BestOrder Inc.;Munich District Five;Student
1305;1;224;44;7;Calzone;Small;4;Ingredients;Friday;18;Feedera SE;Munich District Three;Senior
1837;1;263;17;10;Salami;Small;2;Delivery Scooters ;Friday;20;Deliver Now Holding;Munich District Four;Student
1825;1;25;36;16;Magherita;Small;2;Delivery Scooters ;Sunday;10;Deliveruu Inc.;Munich District One;Senior
180;1;109;10;2;Funghi;Medium;2;Phone Bill;Sunday;13;BestOrder Inc.;Munich District One;Teenager
1718;1;23;60;11;Paprika;Medium;5;Chef 1;Friday;18;BestOrder Inc.;Munich District One;Senior
198;1;136;38;5;Salami;Medium;1;Phone Bill;Monday;11;Feedera SE;Munich District Two;Student
388;1;295;5;10;Calzone;Large;4;Delivery Guy 2;Monday;11;BestOrder Inc.;Munich District One;Adult
610;1;192;55;2;Funghi;Medium;3;Delivery Scooters ;Sunday;17;Feedera SE;Munich District Three;Teenager
1384;1;202;21;16;Funghi;Medium;4;Chef 1;Sunday;18;Feedera SE;Munich District One;Student
1774;1;198;4;7;Funghi;Large;0;Chef 2;Wednesday;13;Deliver Now Holding;Munich District Five;Student
839;1;193;29;5;Salami;Small;3;Chef 1;Friday;17;TownExpress Inc. ;Munich District Five;Student
1471;1;123;21;4;Magherita;Large;5;Chef 1;Friday;14;Feedera SE;Munich District Two;Student
730;1;226;35;13;Calzone;Small;5;Chef 2;Saturday;18;Deliver Now Holding;Munich District Three;Student
1788;1;212;6;5;Funghi;Small;0;Delivery Guy 2;Saturday;11;Deliveruu Inc.;Munich District Two;Teenager
1818;1;37;11;8;Salami;Small;5;Delivery Scooters ;Sunday;14;BestOrder Inc.;Munich District Three;Adult
1187;1;201;36;2;Funghi;Small;5;Chef 1;Friday;12;Deliver Now Holding;Munich District Five;Teenager
729;1;62;21;1;Magherita;Small;1;Chef 1;Sunday;12;Feedera SE;Munich District One;Student
1765;1;53;21;7;Calzone;Large;3;Phone Bill;Friday;12;Heropizza Lmtd.;Munich District One;Teenager
419;1;83;29;22;Speciale;Small;3;Chef 2;Wednesday;19;Deliver Now Holding;Munich District Three;Teenager
469;1;285;36;2;Salami;Medium;1;Chef 2;Friday;13;BestOrder Inc.;Munich District Four;Student
994;1;60;52;7;Salami;Small;3;Phone Bill;Saturday;16;Deliver Now Holding;Munich District Two;Teenager
270;1;89;4;23;Salami;Small;1;Delivery Guy 1 ;Friday;19;Feedera SE;Munich District Two;Adult
1375;1;4;11;7;Funghi;Large;1;Chef 1;Sunday;20;BestOrder Inc.;Munich District Four;Student
918;1;70;5;30;Salami;Medium;3;Chef 2;Friday;12;Deliveruu Inc.;Munich District Two;Student
704;1;47;36;10;Magherita;Medium;3;Delivery Guy 1 ;Wednesday;18;TownExpress Inc. ;Munich District Three;Senior
1210;1;44;8;8;Salami;Large;3;Waiter;Sunday;13;Feedera SE;Munich District One;Student
1936;1;150;46;11;Veggie;Small;1;Delivery Guy 1 ;Sunday;21;Feedera SE;Munich District Five;Adult
682;1;28;36;35;Salami;Small;3;Ingredients;Friday;19;Deliver Now Holding;Munich District Three;Student
287;1;100;10;10;Salami;Large;1;Waiter;Friday;20;Feedera SE;Munich District Three;Adult
920;1;105;21;10;Funghi;Small;3;Waiter;Saturday;12;Feedera SE;Munich District Three;Teenager
661;1;137;6;16;Funghi;Medium;3;Phone Bill;Friday;18;Feedera SE;Munich District One;Student
589;1;39;25;3;Salami;Medium;3;Delivery Guy 2;Wednesday;19;Deliver Now Holding;Munich District Three;Teenager
397;1;224;29;29;Magherita;Small;2;Delivery Guy 1 ;Monday;19;TownExpress Inc. ;Munich District Four;Student
79;1;68;47;7;Salami;Medium;1;Ingredients;Saturday;19;BestOrder Inc.;Munich District Two;Student
753;1;291;18;12;Veggie;Large;1;Waiter;Sunday;13;Orderly SE;Munich District Two;Adult
979;1;223;36;38;Magherita;Small;1;Chef 2;Friday;19;Heropizza Lmtd.;Munich District One;Student
691;1;269;5;4;Veggie;Small;1;Chef 2;Friday;13;BestOrder Inc.;Munich District One;Student
955;1;138;18;9;Funghi;Small;3;Phone Bill;Friday;18;Orderly SE;Munich District One;Student
1001;1;20;5;10;Salami;Medium;3;Chef 1;Wednesday;11;Deliver Now Holding;Munich District One;Teenager
1252;1;195;29;7;Funghi;Small;3;Delivery Scooters ;Saturday;19;Feedera SE;Munich District One;Student
1562;1;185;21;16;Magherita;Small;1;Delivery Scooters ;Saturday;18;Deliver Now Holding;Munich District Four;Student
1272;1;111;10;8;Salami;Large;2;Ingredients;Friday;20;Feedera SE;Munich District One;Student
401;1;290;22;20;Calzone;Small;5;Chef 1;Friday;18;Feedera SE;Munich District Two;Student
1545;1;190;37;2;Salami;Large;1;Delivery Guy 2;Tuesday;12;BestOrder Inc.;Munich District Five;Student
606;1;3;10;2;Calzone;Medium;3;Delivery Scooters ;Sunday;13;TownExpress Inc. ;Munich District One;Teenager
1276;1;115;8;5;Magherita;Small;4;Distribution channel fees;Saturday;21;Feedera SE;Munich District One;Teenager
459;1;218;29;5;Calzone;Small;5;Chef 2;Friday;15;Feedera SE;Munich District Two;Student
133;1;212;29;8;Calzone;Small;4;Phone Bill;Sunday;12;BestOrder Inc.;Munich District Three;Student
1026;1;266;36;13;Calzone;Medium;1;Chef 1;Friday;12;Feedera SE;Munich District One;Student
795;1;158;12;13;Veggie;Large;3;Delivery Guy 1 ;Friday;19;BestOrder Inc.;Munich District Four;Student
231;1;282;29;11;Salami;Medium;4;Delivery Guy 1 ;Saturday;11;Feedera SE;Munich District One;Student
155;1;93;36;31;Salami;Large;2;Chef 1;Sunday;12;Deliver Now Holding;Munich District Two;Student
1535;1;150;5;10;Funghi;Large;2;Chef 1;Tuesday;18;BestOrder Inc.;Munich District Three;Teenager
577;1;228;10;5;Salami;Large;3;Waiter;Sunday;21;BestOrder Inc.;Munich District One;Student
217;1;196;8;7;Magherita;Small;3;Chef 1;Sunday;19;BestOrder Inc.;Munich District Two;Student
400;1;143;6;16;Funghi;Large;0;Chef 2;Friday;12;Orderly SE;Munich District One;Senior
982;1;143;50;46;Magherita;Medium;1;Delivery Guy 2;Saturday;18;Deliver Now Holding;Munich District One;Adult
822;1;13;49;11;Salami;Large;3;Chef 2;Sunday;20;BestOrder Inc.;Munich District Two;Teenager
269;1;69;8;9;Speciale;Small;0;Chef 1;Saturday;17;BestOrder Inc.;Munich District One;Student
1430;1;133;56;10;Paprika;Small;3;Ingredients;Wednesday;18;Deliver Now Holding;Munich District Two;Student
761;1;70;9;2;Funghi;Small;2;Chef 2;Friday;18;BestOrder Inc.;Munich District One;Student
927;1;137;44;5;Funghi;Large;0;Delivery Guy 1 ;Sunday;13;BestOrder Inc.;Munich District One;Adult
1682;1;24;5;46;Veggie;Large;3;Chef 1;Wednesday;12;Deliver Now Holding;Munich District Two;Student
680;1;210;21;10;Salami;Large;0;Waiter;Sunday;21;Feedera SE;Munich District Three;Student
250;1;8;21;34;Magherita;Large;0;Delivery Scooters ;Friday;17;Deliveruu Inc.;Munich District One;Teenager
1381;1;243;6;8;Funghi;Medium;1;Delivery Scooters ;Friday;13;TownExpress Inc. ;Munich District One;Student
1350;1;45;21;43;Speciale;Large;5;Delivery Guy 2;Sunday;18;Deliver Now Holding;Munich District Five;Student
521;1;183;4;51;Salami;Large;4;Delivery Guy 2;Sunday;19;Heropizza Lmtd.;Munich District Four;Student
805;1;257;17;16;Magherita;Small;1;Chef 1;Sunday;11;BestOrder Inc.;Munich District Two;Teenager
1676;1;14;24;7;Salami;Large;4;Chef 2;Friday;18;BestOrder Inc.;Munich District One;Adult
1440;1;151;10;12;Funghi;Medium;1;Chef 2;Friday;12;Deliver Now Holding;Munich District One;Student
1791;1;15;51;9;Salami;Small;3;Delivery Scooters ;Saturday;12;BestOrder Inc.;Munich District One;Teenager
885;1;56;10;7;Salami;Medium;3;Delivery Guy 2;Saturday;18;Feedera SE;Munich District One;Student
1730;1;210;29;2;Magherita;Large;1;Waiter;Wednesday;13;Deliver Now Holding;Munich District Two;Student
1981;1;72;15;2;Calzone;Large;1;Chef 1;Saturday;12;Deliveruu Inc.;Munich District One;Student
639;1;235;6;5;Funghi;Large;3;Ingredients;Thursday;18;BestOrder Inc.;Munich District One;Student
267;1;80;29;10;Magherita;Small;1;Chef 1;Sunday;11;Deliveruu Inc.;Munich District One;Student
1839;1;57;38;2;Magherita;Medium;3;Ingredients;Saturday;14;Deliver Now Holding;Munich District One;Teenager
1179;1;279;21;4;Salami;Small;0;Distribution channel fees;Saturday;18;Feedera SE;Munich District Five;Student
1065;1;5;53;2;Magherita;Large;1;Ingredients;Sunday;21;Deliver Now Holding;Munich District Five;Adult
540;1;56;10;7;Paprika;Large;1;Chef 1;Friday;19;Feedera SE;Munich District One;Adult
923;1;245;15;16;Magherita;Medium;1;Ingredients;Friday;18;BestOrder Inc.;Munich District Two;Adult
55;1;15;15;10;Veggie;Small;1;Waiter;Thursday;19;Feedera SE;Munich District Three;Student
222;1;123;29;13;Speciale;Medium;3;Chef 1;Friday;18;BestOrder Inc.;Munich District Four;Adult
1368;1;46;8;2;Calzone;Medium;5;Delivery Scooters ;Friday;11;Deliveruu Inc.;Munich District Five;Student
356;1;224;53;13;Magherita;Small;1;Chef 2;Sunday;19;Feedera SE;Munich District One;Student
1812;1;102;21;8;Funghi;Large;5;Chef 1;Friday;18;Deliver Now Holding;Munich District Three;Adult
203;1;240;50;10;Calzone;Small;1;Delivery Scooters ;Saturday;18;Feedera SE;Munich District Two;Adult
1271;1;250;36;50;Funghi;Small;0;Delivery Scooters ;Sunday;15;Feedera SE;Munich District Three;Student
1398;1;279;6;29;Funghi;Small;5;Ingredients;Sunday;13;Feedera SE;Munich District One;Adult
774;1;252;11;46;Magherita;Large;3;Delivery Guy 2;Monday;19;BestOrder Inc.;Munich District One;Adult
1924;1;237;34;10;Magherita;Small;2;Delivery Guy 2;Sunday;18;Deliver Now Holding;Munich District Five;Student
1028;1;214;9;9;Veggie;Large;3;Chef 2;Sunday;21;Feedera SE;Munich District One;Student
809;1;296;9;11;Magherita;Large;4;Delivery Scooters ;Friday;13;BestOrder Inc.;Munich District One;Adult
1860;1;113;35;16;Calzone;Medium;5;Phone Bill;Sunday;13;BestOrder Inc.;Munich District One;Teenager
1320;1;42;36;8;Paprika;Small;4;Ingredients;Sunday;12;BestOrder Inc.;Munich District One;Student
1587;1;87;8;8;Funghi;Medium;1;Delivery Scooters ;Friday;12;Feedera SE;Munich District One;Student
